name 	 betax 	 betay 	 length
BS_50A	8.65739e+01	9.14476e+01	2.19920348e+04
BS_50L	2.13683e+02	1.87231e+02	1.67234600e+02
BS_53V	9.87063e+02	9.87063e+02	3.15260000e+01
BS_53H	9.09518e+02	9.09518e+02	3.15260000e+01
BS_63V	9.61213e+02	9.58503e+02	2.84219500e+02
BS_63H	1.94241e+03	1.94241e+03	9.49760000e+01
BS_69	5.84971e+02	5.91430e+02	1.30644500e+02
BS_74	9.06709e+02	9.06709e+02	6.46100000e+01
MBW	1.38224e+02	1.35564e+02	7.06000000e+01
MQW_V	1.92195e+02	2.10125e+02	7.45920000e+01
MQW_H	1.92195e+02	2.10125e+02	7.45920000e+01
Warm_Pipe	4.36353e+02	4.35233e+02	3.59225980e+03
taperBS53_BS63	2.37229e+03	2.37229e+03	1.20000000e-01
taperBS63_BS74	3.95561e+03	3.95561e+03	3.08000000e-01
taperBS74_warm	3.85409e+03	3.85409e+03	1.40000000e-01
BPM61CW	1.15314e+03	1.15350e+03	1.20000000e+00
BPM61strip	2.82309e+03	2.75444e+03	1.00000000e+00
BPM80strip	3.41334e+03	3.40634e+03	1.00000000e+00
RF	2.34879e+02	2.52548e+02	8.76000000e+00
CMS	5.54923e+02	5.54923e+02	1.86000000e+01
ALICE	3.95648e+01	3.95651e+01	8.60000000e+00
LHCb	1.01548e+02	1.01548e+02	8.60000000e+00
